"Season","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO"
"2015","ATL","67","95","4.41","694","162","3","2","44","82","26","1425.1","6156","1462","760","699","170","550","45","53","53","9","1148"
"2017","TOR","76","86","4.42","740","162","2","0","45","79","26","1465.0","6316","1460","784","720","203","549","25","48","53","4","1372"
"2006","NYY","97","65","4.43","651","162","5","1","43","83","17","1443.2","6215","1463","767","710","170","496","41","59","46","7","1019"
"2006","CLE","78","84","4.43","539","162","13","6","24","40","23","1423.1","6190","1583","782","701","166","429","35","51","46","2","948"
"2013","COL","74","88","4.44","665","162","1","0","35","82","18","1436.0","6248","1545","760","708","136","517","52","40","62","15","1064"
"2005","PIT","67","95","4.44","613","162","4","3","35","59","12","1436.0","6264","1456","769","708","162","612","65","65","53","4","958"
"2011","COL","73","89","4.44","679","162","5","2","41","97","23","1447.2","6215","1471","774","714","176","522","47","48","65","7","1118"
"2009","ARI","70","92","4.44","645","162","4","1","36","46","19","1447.2","6267","1470","782","714","168","525","27","53","79","2","1158"
"2008","FLA","84","77","4.44","672","161","2","1","36","87","24","1435.1","6271","1421","767","708","161","586","66","58","59","4","1127"
"2007","MIL","83","79","4.44","654","162","3","0","49","95","20","1444.1","6285","1513","776","713","161","507","37","52","57","2","1174"
"2016","SDP","68","94","4.44","672","162","1","0","35","74","18","1440.0","6228","1425","770","711","183","569","44","53","67","3","1222"
"2011","KCR","71","91","4.45","582","162","2","0","37","58","22","1451.1","6280","1487","762","717","163","557","42","58","69","7","1080"
"2009","LAA","97","65","4.45","596","162","9","6","51","79","19","1445.0","6252","1513","761","715","180","523","35","58","67","2","1062"
"2017","SEA","78","84","4.46","689","162","1","0","39","93","26","1440.1","6132","1399","772","713","237","490","28","53","73","7","1244"
"2008","CLE","81","81","4.46","561","162","10","5","31","51","20","1437.0","6164","1530","761","712","170","444","28","51","44","5","986"
"2002","BAL","67","95","4.46","569","162","8","1","31","58","15","1450.2","6258","1491","773","719","208","549","34","54","54","1","967"
"2009","NYM","70","92","4.46","673","162","3","2","39","75","21","1426.0","6284","1452","757","707","158","616","60","55","41","10","1031"
"2009","TOR","75","87","4.47","607","162","10","4","25","50","16","1451.0","6281","1509","771","720","181","551","26","58","43","4","1181"
"2008","ATL","72","90","4.47","707","162","2","1","26","76","18","1440.2","6244","1439","778","715","156","586","80","42","42","5","1076"
"2004","PHI","86","76","4.47","638","162","4","4","43","82","25","1462.2","6308","1488","781","726","214","502","60","66","40","3","1070"
"2005","SEA","69","93","4.49","595","162","6","2","39","73","20","1427.2","6172","1483","751","712","179","496","32","57","36","4","892"
"2006","ARI","76","86","4.49","623","162","8","4","34","75","20","1459.2","6341","1503","788","728","168","536","44","61","53","4","1115"
"2003","BOS","95","67","4.49","599","162","5","0","36","46","21","1464.2","6355","1503","809","731","153","488","41","76","44","0","1141"
"2014","TEX","67","95","4.49","638","162","6","4","33","68","14","1426.1","6195","1510","773","712","160","505","43","61","61","7","1110"
"2003","NYM","66","95","4.50","573","161","3","3","38","59","15","1413.1","6204","1497","754","706","168","576","71","45","45","7","907"
"2009","MIN","87","76","4.50","643","163","4","1","48","82","16","1453.0","6274","1542","765","726","185","466","20","58","43","3","1052"
"2007","NYY","94","68","4.50","684","162","1","0","34","71","21","1450.2","6308","1498","777","725","150","578","33","60","59","6","1009"
"2017","SFG","64","98","4.50","664","162","3","2","32","66","22","1452.0","6287","1515","776","726","182","496","42","50","55","3","1234"
"2008","KCR","75","87","4.50","601","162","2","0","44","59","16","1445.2","6214","1473","781","723","159","515","15","41","68","5","1085"
"2018","MIN","78","84","4.50","728","162","2","1","37","83","28","1443.1","6287","1425","775","722","198","573","34","80","59","0","1377"
"2007","KCR","69","93","4.50","610","162","2","0","36","74","18","1437.1","6253","1547","778","719","168","520","54","41","56","4","993"
"2016","ATL","68","93","4.51","748","161","1","1","39","64","19","1447.2","6250","1414","779","725","177","547","55","70","83","4","1227"
"2012","CHC","61","101","4.51","655","162","1","0","28","56","21","1413.2","6140","1399","759","708","175","573","36","65","44","5","1128"
"2011","HOU","56","106","4.51","665","162","2","0","25","50","26","1435.0","6268","1477","796","719","188","560","59","53","39","9","1191"
"2017","COL","87","75","4.51","711","162","1","1","47","111","14","1437.2","6177","1453","757","721","190","532","20","50","69","10","1270"
"2001","MIN","85","77","4.51","564","162","12","5","45","","","1441.1","6187","1494","766","723","192","445","16","56","58","2","965"
"2016","OAK","69","93","4.51","654","162","2","1","42","66","23","1433.1","6144","1459","761","719","185","464","28","50","70","3","1188"
"2005","DET","71","91","4.52","587","162","7","0","37","56","20","1435.2","6139","1504","787","721","193","461","33","51","53","5","907"
"2000","SDP","76","86","4.52","605","162","5","0","46","","","1459.1","6414","1443","815","733","191","649","50","68","65","7","1071"
"2001","SDP","79","83","4.52","584","162","5","1","46","","","1440.2","6278","1519","812","724","219","476","54","56","46","5","1088"
"2019","PHI","81","81","4.53","726","162","3","1","36","94","19","1453.2","6274","1452","794","732","258","546","38","71","45","7","1392"
"2006","CIN","80","82","4.53","638","162","9","3","36","49","24","1445.2","6319","1576","801","728","213","464","55","60","40","9","1053"
"2000","SEA","91","71","4.53","545","162","4","4","44","","","1441.2","6269","1442","780","726","167","634","37","38","43","6","998"
"2005","NYY","95","67","4.54","580","162","8","4","46","69","21","1430.2","6182","1495","789","721","164","463","25","84","37","6","985"
"2006","STL","83","78","4.54","630","161","6","3","38","73","19","1429.2","6196","1475","762","721","193","504","35","80","35","3","970"
"2009","HOU","74","88","4.54","659","162","5","1","39","83","26","1430.0","6237","1521","770","722","176","546","56","50","43","4","1144"
"2004","TEX","89","73","4.54","630","162","5","2","52","76","14","1439.2","6345","1536","794","727","182","547","29","81","34","11","979"
"2006","PIT","67","95","4.55","667","162","2","1","39","72","21","1435.0","6354","1545","797","725","156","620","62","70","61","6","1060"
"2008","CIN","74","88","4.55","669","162","2","1","34","58","21","1442.1","6352","1542","800","729","201","557","40","67","52","7","1227"
"2001","CHW","83","79","4.55","568","162","8","3","51","","","1433.1","6200","1465","795","725","181","500","38","88","57","5","921"
"2013","MIN","66","96","4.55","673","162","1","1","40","77","18","1450.1","6257","1591","788","734","168","458","31","44","50","4","985"
"2005","BAL","74","88","4.56","636","162","2","0","38","70","19","1427.2","6242","1458","800","724","180","580","32","52","70","11","1052"
"2012","HOU","55","107","4.57","703","162","3","2","31","70","19","1423.1","6238","1493","794","722","173","540","40","48","75","6","1170"
"2017","PHI","66","96","4.57","668","162","1","0","33","73","24","1441.0","6235","1471","782","731","221","527","39","63","50","11","1309"
"2002","CHW","81","81","4.57","585","162","7","4","35","60","11","1423.0","6131","1422","798","723","190","528","31","60","54","6","945"
"2000","OAK","91","70","4.58","542","161","7","4","43","","","1435.1","6355","1535","813","730","158","615","57","48","45","1","963"
"2014","MIN","70","92","4.58","653","162","2","0","38","68","20","1435.0","6212","1588","777","730","147","408","24","45","50","6","1031"
"2007","WSN","73","89","4.58","750","162","0","0","46","95","27","1446.2","6333","1502","783","736","187","580","44","42","52","4","931"
"2007","DET","88","74","4.58","605","162","1","1","44","73","21","1447.1","6345","1498","797","737","174","566","41","68","75","8","1047"
"2000","FLA","79","82","4.59","590","161","5","3","48","","","1429.2","6307","1477","797","729","169","650","56","43","49","10","1051"
"2010","MIL","77","85","4.59","657","162","3","3","35","86","21","1439.0","6324","1487","804","734","173","582","42","48","71","3","1258"
"2010","BAL","66","96","4.59","616","162","3","0","35","71","27","1436.1","6262","1508","785","733","186","520","45","59","45","5","1007"
"2009","PIT","62","99","4.59","617","161","5","2","28","62","17","1418.1","6144","1491","768","724","152","563","37","47","52","3","919"
"2006","ATL","79","83","4.60","684","162","6","2","38","56","29","1441.1","6350","1529","805","736","183","572","69","55","39","2","1049"
"2011","MIN","63","99","4.60","619","162","7","3","32","59","20","1421.2","6210","1564","804","726","161","480","37","54","47","5","940"
"2018","DET","64","98","4.60","704","162","0","0","37","75","24","1425.1","6130","1423","796","728","216","491","20","60","54","4","1215"
"2006","SEA","78","84","4.60","591","162","6","2","47","72","20","1446.2","6294","1500","792","739","183","560","50","53","47","6","1067"
"2017","MIN","85","77","4.60","682","162","6","3","42","82","20","1436.0","6205","1487","788","734","224","483","37","69","52","8","1166"
"2006","TEX","80","82","4.61","651","162","3","1","42","79","23","1431.1","6237","1558","784","733","162","496","18","66","34","4","972"
"2006","PHI","85","77","4.61","662","162","4","2","42","85","22","1460.1","6366","1561","812","748","211","512","63","62","58","4","1138"
"2006","CHW","90","72","4.61","560","162","5","2","46","64","17","1449.0","6232","1534","794","743","200","433","59","58","51","1","1012"
"2003","STL","85","77","4.62","622","162","9","3","41","72","30","1463.2","6375","1544","796","751","210","508","36","65","53","1","969"
"2019","SDP","70","92","4.63","705","162","0","0","47","96","25","1432.0","6160","1394","789","737","215","463","19","68","60","6","1475"
"2017","KCR","80","82","4.63","700","162","1","1","39","94","21","1437.2","6218","1480","791","740","196","519","24","52","48","6","1216"
